"parm_id";"industry";"cartel";"detected";"nTc";"rep_off";"start";"end";"duration";"lduration";"n_firms";"sigma_start";"in_cartel";"nfirms2";"nfirms3";"sigma2";"sigma3";"nfirms_sigma"
17;150;3;1;3;1;259;848;590;6.3818160174061;4;0.3;1;16;64;0.09;0.027;1.2
17;150;4;0;3;1;850;1000;151;5.02388052084628;4;0.3;1;16;64;0.09;0.027;1.2
18;150;1;1;1;0;1;461;461;6.13556489108174;4;0.35;1;16;64;0.1225;0.042875;1.4
18;150;2;0;1;0;463;1000;538;6.289715570909;4;0.35;1;16;64;0.1225;0.042875;1.4
19;150;1;1;1;0;1;258;258;5.55682806169954;5;0.1;1;25;125;0.01;0.001;0.5
19;150;2;0;1;0;260;1000;741;6.60934924316738;5;0.1;1;25;125;0.01;0.001;0.5
20;150;1;0;0;0;1;1000;1000;6.90875477931522;5;0.15;1;25;125;0.0225;0.003375;0.75
21;150;1;1;1;0;1;391;391;5.97126183979046;5;0.2;1;25;125;0.04;0.008;1
21;150;2;0;1;0;393;1000;608;6.4118182677099;5;0.2;1;25;125;0.04;0.008;1
22;150;1;1;1;0;1;148;148;5.00394630594546;5;0.25;1;25;125;0.0625;0.015625;1.25
22;150;2;1;2;1;150;645;496;6.20859002609663;5;0.25;1;25;125;0.0625;0.015625;1.25
22;150;3;0;2;1;647;1000;354;5.87211778947542;5;0.25;1;25;125;0.0625;0.015625;1.25
23;150;1;0;0;0;1;1000;1000;6.90875477931522;5;0.3;1;25;125;0.09;0.027;1.5
24;150;1;1;1;0;1;966;966;6.87419849545329;5;0.35;1;25;125;0.1225;0.042875;1.75
24;150;2;0;1;0;968;1000;33;3.52636052461616;5;0.35;1;25;125;0.1225;0.042875;1.75
25;150;1;1;1;0;1;43;43;3.78418963391826;6;0.1;1;36;216;0.01;0.001;0.6
25;150;2;0;1;0;45;47;3;1.38629436111989;6;0.1;1;36;216;0.01;0.001;0.6
25;150;3;0;0;0;51;53;3;1.38629436111989;6;0.1;1;36;216;0.01;0.001;0.6
25;150;4;0;0;0;55;55;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;150;5;0;0;0;57;57;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;150;6;0;0;0;73;73;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;150;7;0;0;0;75;79;5;1.79175946922805;6;0.1;1;36;216;0.01;0.001;0.6
25;150;8;0;0;0;161;161;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;150;9;0;0;0;165;165;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;150;10;0;0;0;167;167;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;150;11;0;0;0;195;195;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
