"parm_id";"industry";"cartel";"detected";"nTc";"rep_off";"start";"end";"duration";"lduration";"n_firms";"sigma_start";"in_cartel";"nfirms2";"nfirms3";"sigma2";"sigma3";"nfirms_sigma"
2;152;2;1;2;1;45;591;547;6.30627528694802;2;0.15;1;4;8;0.0225;0.003375;0.3
2;152;3;1;3;1;593;656;64;4.17438726989564;2;0.15;1;4;8;0.0225;0.003375;0.3
2;152;4;0;3;1;658;1000;343;5.8406416573734;2;0.15;1;4;8;0.0225;0.003375;0.3
3;152;1;1;1;0;1;855;855;6.75227037614174;2;0.2;1;4;8;0.04;0.008;0.4
3;152;2;0;1;0;857;1000;144;4.97673374242057;2;0.2;1;4;8;0.04;0.008;0.4
4;152;1;0;0;0;1;1000;1000;6.90875477931522;2;0.25;1;4;8;0.0625;0.015625;0.5
5;152;1;1;1;0;1;347;347;5.85220247977447;2;0.3;1;4;8;0.09;0.027;0.6
5;152;2;1;2;1;349;861;513;6.24222326545517;2;0.3;1;4;8;0.09;0.027;0.6
5;152;3;0;2;1;863;1000;138;4.93447393313069;2;0.3;1;4;8;0.09;0.027;0.6
6;152;1;1;1;0;1;125;125;4.83628190695148;2;0.35;1;4;8;0.1225;0.042875;0.7
6;152;2;1;2;1;127;613;487;6.19031540585315;2;0.35;1;4;8;0.1225;0.042875;0.7
6;152;3;1;3;1;615;784;170;5.14166355650266;2;0.35;1;4;8;0.1225;0.042875;0.7
6;152;4;0;3;1;786;1000;215;5.37527840768417;2;0.35;1;4;8;0.1225;0.042875;0.7
7;152;1;0;0;0;1;1000;1000;6.90875477931522;3;0.1;1;9;27;0.01;0.001;0.3
8;152;1;0;0;0;1;1000;1000;6.90875477931522;3;0.15;1;9;27;0.0225;0.003375;0.45
9;152;1;1;1;0;1;118;118;4.77912349311153;3;0.2;1;9;27;0.04;0.008;0.6
9;152;2;0;1;0;120;1000;881;6.78219205600679;3;0.2;1;9;27;0.04;0.008;0.6
10;152;1;1;1;0;1;126;126;4.84418708645859;3;0.25;1;9;27;0.0625;0.015625;0.75
10;152;2;1;2;1;128;639;512;6.24027584517077;3;0.25;1;9;27;0.0625;0.015625;0.75
10;152;3;0;2;1;641;1000;360;5.88887795833288;3;0.25;1;9;27;0.0625;0.015625;0.75
11;152;1;1;1;0;1;903;903;6.80682936039218;3;0.3;1;9;27;0.09;0.027;0.9
