"industry";"cartel";"start";"end";"duration";"startyear";"endyear";"duration_year";"n_firms";"rho_start";"theta_len";"structured";"detected";"len_reduction"
12;1;1;454;454;1;38;38;2;0.1;0.5;0;1;0.5
12;1;1;454;454;1;38;38;2;0.1;1;0;1;0
12;1;456;1000;545;38;84;47;2;0.1;0;0;0;1
12;1;456;1000;545;38;84;47;2;0.1;0.5;0;0;0.5
12;1;456;1000;545;38;84;47;2;0.1;1;0;0;0
13;1;1;140;140;1;12;12;2;0.1;0;0;1;1
13;1;1;140;140;1;12;12;2;0.1;0.5;0;1;0.5
13;1;1;140;140;1;12;12;2;0.1;1;0;1;0
13;1;723;1000;278;61;84;24;2;0.1;0;0;0;1
13;1;723;1000;278;61;84;24;2;0.1;0.5;0;0;0.5
13;1;723;1000;278;61;84;24;2;0.1;1;0;0;0
13;2;142;721;580;12;61;50;2;0.1;0;0;1;1
13;2;142;721;580;12;61;50;2;0.1;0.5;0;1;0.5
13;2;142;721;580;12;61;50;2;0.1;1;0;1;0
14;1;1;233;233;1;20;20;2;0.1;0;0;1;1
14;1;1;233;233;1;20;20;2;0.1;0.5;0;1;0.5
14;1;1;233;233;1;20;20;2;0.1;1;0;1;0
14;1;644;1000;357;54;84;31;2;0.1;0;0;0;1
14;1;644;1000;357;54;84;31;2;0.1;0.5;0;0;0.5
14;1;644;1000;357;54;84;31;2;0.1;1;0;0;0
14;2;235;637;403;20;54;35;2;0.1;0;0;1;1
14;2;235;637;403;20;54;35;2;0.1;0.5;0;1;0.5
14;2;235;637;403;20;54;35;2;0.1;1;0;1;0
14;3;639;642;4;54;54;1;2;0.1;0;0;1;1
14;3;639;642;4;54;54;1;2;0.1;0.5;0;1;0.5
14;3;639;642;4;54;54;1;2;0.1;1;0;1;0
15;1;1;35;35;1;3;3;2;0.1;0;0;1;1
15;1;1;35;35;1;3;3;2;0.1;0.5;0;1;0.5
15;1;1;35;35;1;3;3;2;0.1;1;0;1;0
15;1;804;1000;197;67;84;18;2;0.1;0;0;0;1
15;1;804;1000;197;67;84;18;2;0.1;0.5;0;0;0.5
15;1;804;1000;197;67;84;18;2;0.1;1;0;0;0
15;2;37;186;150;4;16;13;2;0.1;0;0;1;1
15;2;37;186;150;4;16;13;2;0.1;0.5;0;1;0.5
15;2;37;186;150;4;16;13;2;0.1;1;0;1;0
15;3;188;731;544;16;61;46;2;0.1;0;0;1;1
15;3;188;731;544;16;61;46;2;0.1;0.5;0;1;0.5
15;3;188;731;544;16;61;46;2;0.1;1;0;1;0
15;4;733;742;10;62;62;1;2;0.1;0;0;1;1
15;4;733;742;10;62;62;1;2;0.1;0.5;0;1;0.5
15;4;733;742;10;62;62;1;2;0.1;1;0;1;0
15;5;744;802;59;62;67;6;2;0.1;0;0;1;1
15;5;744;802;59;62;67;6;2;0.1;0.5;0;1;0.5
15;5;744;802;59;62;67;6;2;0.1;1;0;1;0
16;1;1;140;140;1;12;12;2;0.1;0;0;1;1
16;1;1;140;140;1;12;12;2;0.1;0.5;0;1;0.5
16;1;1;140;140;1;12;12;2;0.1;1;0;1;0
16;1;711;1000;290;60;84;25;2;0.1;0;0;0;1
16;1;711;1000;290;60;84;25;2;0.1;0.5;0;0;0.5
16;1;711;1000;290;60;84;25;2;0.1;1;0;0;0
16;2;142;709;568;12;60;49;2;0.1;0;0;1;1
16;2;142;709;568;12;60;49;2;0.1;0.5;0;1;0.5
16;2;142;709;568;12;60;49;2;0.1;1;0;1;0
