"n_firms";"rho_start";"theta_len";"structured";"gamma";"mean_sum_detected";"mean_duration_detected";"mean_sum_undetected";"mean_duration_undetected";"mean_sum_population";"mean_duration_population"
5;0.2;0;0;0.9;21.077;100;30.979;32;52.056;44.568
5;0.25;0;0;0.9;9.929;61;19.211;25;29.14;31.708
5;0.3;0;0;0.9;1.803;67;5.178;17;6.981;20.901
5;0.35;0;0;0.9;0.172;19;0.951;13;1.123;13.212
6;0.1;0;0;0.9;1.104;50;7.623;12;8.727;13.743
6;0.15;0;0;0.9;0.598;43;3.808;13;4.406;14.687
6;0.2;0;0;0.9;0.034;34;0.588;13;0.622;13.234
6;0.25;0;0;0.9;0;0;0.167;9;0.167;9.278
6;0.3;0;0;0.9;0;0;0.113;4;0.113;4.185
6;0.35;0;0;0.9;0;0;0;0;0;0
7;0.1;0;0;0.9;0;0;0.039;6;0.039;6.5
7;0.15;0;0;0.9;0;0;0;0;0;0
7;0.2;0;0;0.9;0;0;0;0;0;0
7;0.25;0;0;0.9;0;0;0;0;0;0
7;0.3;0;0;0.9;0;0;0;0;0;0
7;0.35;0;0;0.9;0;0;0;0;0;0
2;0.1;1;1;0.9;66.792;225;32.911;332;99.703;251.775
2;0.15;1;1;0.9;81.959;159;17.527;183;99.486;162.559
2;0.2;1;1;0.9;88.66;125;10.635;110;99.295;123.501
2;0.25;1;1;0.9;90.338;103;8.785;91;99.123;101.665
2;0.3;1;1;0.9;89.998;77;6.532;69;96.53;76.49
2;0.35;1;1;0.9;44.753;85;0.8;29;45.553;82.524
3;0.1;1;1;0.9;65.567;205;33.885;308;99.452;231.284
3;0.15;1;1;0.9;81.54;167;17.973;183;99.513;170.108
3;0.2;1;1;0.9;83.439;125;9.335;96;92.774;121.591
3;0.25;1;1;0.9;54.558;119;4.57;80;59.128;114.589
3;0.3;1;1;0.9;28.74;97;1.164;48;29.904;93.743
3;0.35;1;1;0.9;22.795;119;1.847;142;24.642;120.205
4;0.1;1;1;0.9;63.514;239;32.469;301;95.983;256.639
4;0.15;1;1;0.9;47.946;172;22.884;218;70.83;184.453
4;0.2;1;1;0.9;32.822;138;8.096;125;40.918;135.043
4;0.25;1;1;0.9;22.549;137;3.88;88;26.429;126.455
4;0.3;1;1;0.9;13.626;135;3.366;146;16.992;137.032
4;0.35;1;1;0.9;10.112;118;4.844;131;14.956;121.593
5;0.1;1;1;0.9;43.911;199;27.707;110;71.618;151.093
5;0.15;1;1;0.9;22.239;145;21.724;101;43.963;119.465
5;0.2;1;1;0.9;9.872;87;12.97;70;22.842;76.395
5;0.25;1;1;0.9;4.596;69;7.344;41;11.94;48.934
5;0.3;1;1;0.9;1.338;70;3.727;63;5.065;64.936
5;0.35;1;1;0.9;0.34;34;0.171;24;0.511;30.059
6;0.1;1;1;0.9;0.572;38;6.728;16;7.3;16.898
6;0.15;1;1;0.9;0.877;58;2.595;35;3.472;39.011
6;0.2;1;1;0.9;0.042;21;0.624;35;0.666;33.3
6;0.25;1;1;0.9;0;0;0.22;55;0.22;55
6;0.3;1;1;0.9;0;0;0.202;40;0.202;40.4
6;0.35;1;1;0.9;0;0;0;0;0;0
7;0.1;1;1;0.9;0;0;0.044;9;0.044;8.8
7;0.15;1;1;0.9;0;0;0;0;0;0
7;0.2;1;1;0.9;0;0;0;0;0;0
7;0.25;1;1;0.9;0;0;0;0;0;0
7;0.3;1;1;0.9;0;0;0;0;0;0
7;0.35;1;1;0.9;0;0;0;0;0;0
2;0.1;0.5;1;0.9;66.792;225;32.911;332;99.703;251.775
2;0.15;0.5;1;0.9;81.959;159;17.527;183;99.486;162.559
2;0.2;0.5;1;0.9;88.66;125;10.635;110;99.295;123.501
2;0.25;0.5;1;0.9;90.338;103;8.72;90;99.058;101.598
2;0.3;0.5;1;0.9;70.452;82;4.725;59;75.177;79.721
2;0.35;0.5;1;0.9;36.286;92;1.191;54;37.477;89.658
3;0.1;0.5;1;0.9;65.567;205;33.885;308;99.452;231.284
3;0.15;0.5;1;0.9;81.54;167;17.923;181;99.463;169.732
3;0.2;0.5;1;0.9;75.178;131;9.678;90;84.856;124.24
3;0.25;0.5;1;0.9;49.807;122;4.285;86;54.092;118.363
3;0.3;0.5;1;0.9;27.958;101;0.883;46;28.841;97.436
3;0.35;0.5;1;0.9;22.059;119;2.166;135;24.225;120.522
4;0.1;0.5;1;0.9;62.191;237;32.635;255;94.826;243.144
4;0.15;0.5;1;0.9;45.188;166;23.391;189;68.579;173.179
4;0.2;0.5;1;0.9;31.286;138;8.321;99;39.607;127.354
4;0.25;0.5;1;0.9;21.733;134;4.007;80;25.74;121.415
4;0.3;0.5;1;0.9;13.609;135;3.174;144;16.783;136.447
4;0.35;0.5;1;0.9;9.754;116;4.789;117;14.543;116.344
5;0.1;0.5;1;0.9;40.221;188;29.745;77;69.966;116.805
5;0.15;0.5;1;0.9;19.944;138;23.477;82;43.421;100.979
5;0.2;0.5;1;0.9;9.308;89;12.691;58;21.999;67.689
5;0.25;0.5;1;0.9;4.208;64;7.22;39;11.428;45.17
5;0.3;0.5;1;0.9;0.928;52;3.326;36;4.254;38.673
5;0.35;0.5;1;0.9;0.221;25;0.318;29;0.539;26.95
6;0.1;0.5;1;0.9;0.572;38;6.615;15;7.187;16.26
6;0.15;0.5;1;0.9;0.52;43;2.667;22;3.187;24.144
6;0.2;0.5;1;0.9;0.034;34;0.566;20;0.6;20
6;0.25;0.5;1;0.9;0;0;0.203;34;0.203;33.833
6;0.3;0.5;1;0.9;0;0;0.16;16;0.16;16
6;0.35;0.5;1;0.9;0;0;0;0;0;0
7;0.1;0.5;1;0.9;0;0;0.044;9;0.044;8.8
7;0.15;0.5;1;0.9;0;0;0;0;0;0
7;0.2;0.5;1;0.9;0;0;0;0;0;0
7;0.25;0.5;1;0.9;0;0;0;0;0;0
7;0.3;0.5;1;0.9;0;0;0;0;0;0
7;0.35;0.5;1;0.9;0;0;0;0;0;0
2;0.1;0;1;0.9;66.792;225;32.911;332;99.703;251.775
2;0.15;0;1;0.9;81.959;159;17.527;183;99.486;162.559
2;0.2;0;1;0.9;88.66;125;10.635;110;99.295;123.501
2;0.25;0;1;0.9;86.592;102;9.802;48;96.394;91.196
2;0.3;0;1;0.9;54.479;83;8.267;15;62.746;51.813
2;0.35;0;1;0.9;33.757;92;1.605;14;35.362;73.825
3;0.1;0;1;0.9;65.567;205;33.885;308;99.452;231.284
3;0.15;0;1;0.9;80.642;167;18.381;130;99.023;158.437
3;0.2;0;1;0.9;68.345;128;11.664;25;80.009;80.573
3;0.25;0;1;0.9;46.497;123;6.306;29;52.803;88.745
3;0.3;0;1;0.9;27.166;101;1.408;20;28.574;84.289
3;0.35;0;1;0.9;21.216;117;2.782;90;23.998;112.667
4;0.1;0;1;0.9;59.26;233;34.676;109;93.936;164.224
4;0.15;0;1;0.9;40.824;158;25.866;56;66.69;92.241
4;0.2;0;1;0.9;30.286;137;8.328;31;38.614;79.127
4;0.25;0;1;0.9;21.22;133;4.171;28;25.391;81.643
4;0.3;0;1;0.9;13.423;133;3.12;65;16.543;111.027
4;0.35;0;1;0.9;9.671;117;4.626;71;14.297;96.601
5;0.1;0;1;0.9;38.379;183;29.994;32;68.373;60.241
5;0.15;0;1;0.9;19.008;134;23.31;37;42.318;54.674
5;0.2;0;1;0.9;8.819;87;12.608;30;21.427;40.813
5;0.25;0;1;0.9;3.396;52;7.725;25;11.121;30.057
5;0.3;0;1;0.9;0.794;53;2.887;13;3.681;16.004
5;0.35;0;1;0.9;0.095;14;0.342;6;0.437;6.723
6;0.1;0;1;0.9;0.526;35;6.432;12;6.958;12.744
6;0.15;0;1;0.9;0.346;35;2.652;12;2.998;13.149
6;0.2;0;1;0.9;0.034;34;0.539;13;0.573;13.976
6;0.25;0;1;0.9;0;0;0.167;9;0.167;9.278
6;0.3;0;1;0.9;0;0;0.113;4;0.113;4.185
6;0.35;0;1;0.9;0;0;0;0;0;0
7;0.1;0;1;0.9;0;0;0.039;6;0.039;6.5
7;0.15;0;1;0.9;0;0;0;0;0;0
7;0.2;0;1;0.9;0;0;0;0;0;0
7;0.25;0;1;0.9;0;0;0;0;0;0
7;0.3;0;1;0.9;0;0;0;0;0;0
7;0.35;0;1;0.9;0;0;0;0;0;0
