"industry";"cartel";"start";"end";"duration";"startyear";"endyear";"duration_year";"n_firms";"rho_start";"theta_len";"structured";"detected"
1;1;1;417;417;1;35;35;2;0.1;0;1;1
1;2;419;422;4;35;36;2;2;0.1;0;1;1
3;1;1;65;65;1;6;6;2;0.1;0;1;1
4;1;1;60;60;1;5;5;2;0.1;0;1;1
4;2;62;96;35;6;8;3;2;0.1;0;1;1
4;3;98;269;172;9;23;15;2;0.1;0;1;1
4;4;271;351;81;23;30;8;2;0.1;0;1;1
4;5;353;454;102;30;38;9;2;0.1;0;1;1
4;6;456;501;46;38;42;5;2;0.1;0;1;1
4;7;503;593;91;42;50;9;2;0.1;0;1;1
4;8;595;605;11;50;51;2;2;0.1;0;1;1
4;9;607;823;217;51;69;19;2;0.1;0;1;1
5;1;1;577;577;1;49;49;2;0.1;0;1;1
5;2;579;711;133;49;60;12;2;0.1;0;1;1
5;3;713;867;155;60;73;14;2;0.1;0;1;1
5;4;869;957;89;73;80;8;2;0.1;0;1;1
8;1;1;689;689;1;58;58;2;0.1;0;1;1
8;2;691;749;59;58;63;6;2;0.1;0;1;1
10;1;1;138;138;1;12;12;2;0.1;0;1;1
10;2;140;413;274;12;35;24;2;0.1;0;1;1
10;3;415;740;326;35;62;28;2;0.1;0;1;1
10;4;742;946;205;62;79;18;2;0.1;0;1;1
11;1;1;644;644;1;54;54;2;0.1;0;1;1
11;2;646;848;203;54;71;18;2;0.1;0;1;1
12;1;1;454;454;1;38;38;2;0.1;0;1;1
12;2;456;891;436;38;75;38;2;0.1;0;1;1
12;3;893;899;7;75;75;1;2;0.1;0;1;1
13;1;1;140;140;1;12;12;2;0.1;0;1;1
13;2;142;469;328;12;40;29;2;0.1;0;1;1
13;3;471;766;296;40;64;25;2;0.1;0;1;1
13;4;768;856;89;64;72;9;2;0.1;0;1;1
14;1;1;233;233;1;20;20;2;0.1;0;1;1
14;2;235;421;187;20;36;17;2;0.1;0;1;1
14;3;423;591;169;36;50;15;2;0.1;0;1;1
14;4;593;706;114;50;59;10;2;0.1;0;1;1
14;5;708;854;147;59;72;14;2;0.1;0;1;1
15;1;1;35;35;1;3;3;2;0.1;0;1;1
15;2;37;429;393;4;36;33;2;0.1;0;1;1
15;3;431;945;515;36;79;44;2;0.1;0;1;1
16;1;1;140;140;1;12;12;2;0.1;0;1;1
16;2;142;551;410;12;46;35;2;0.1;0;1;1
17;1;1;818;818;1;69;69;2;0.1;0;1;1
17;2;820;995;176;69;83;15;2;0.1;0;1;1
18;1;1;348;348;1;29;29;2;0.1;0;1;1
18;2;350;720;371;30;60;31;2;0.1;0;1;1
18;3;722;793;72;61;67;7;2;0.1;0;1;1
19;1;1;142;142;1;12;12;2;0.1;0;1;1
19;2;144;285;142;12;24;13;2;0.1;0;1;1
19;3;287;387;101;24;33;10;2;0.1;0;1;1
19;4;389;398;10;33;34;2;2;0.1;0;1;1
19;5;400;456;57;34;38;5;2;0.1;0;1;1
19;6;458;674;217;39;57;19;2;0.1;0;1;1
20;1;1;360;360;1;30;30;2;0.1;0;1;1
20;2;362;404;43;31;34;4;2;0.1;0;1;1
20;3;406;580;175;34;49;16;2;0.1;0;1;1
20;4;582;795;214;49;67;19;2;0.1;0;1;1
20;5;797;927;131;67;78;12;2;0.1;0;1;1
21;1;1;95;95;1;8;8;2;0.1;0;1;1
22;1;1;213;213;1;18;18;2;0.1;0;1;1
23;1;1;713;713;1;60;60;2;0.1;0;1;1
23;2;715;776;62;60;65;6;2;0.1;0;1;1
25;1;1;706;706;1;59;59;2;0.1;0;1;1
25;2;708;916;209;59;77;19;2;0.1;0;1;1
26;1;1;200;200;1;17;17;2;0.1;0;1;1
26;2;202;510;309;17;43;27;2;0.1;0;1;1
28;1;1;269;269;1;23;23;2;0.1;0;1;1
28;2;271;447;177;23;38;16;2;0.1;0;1;1
28;3;449;546;98;38;46;9;2;0.1;0;1;1
28;4;548;552;5;46;46;1;2;0.1;0;1;1
28;5;554;554;1;47;47;1;2;0.1;0;1;1
28;6;556;776;221;47;65;19;2;0.1;0;1;1
28;7;778;821;44;65;69;5;2;0.1;0;1;1
28;8;823;962;140;69;81;13;2;0.1;0;1;1
29;1;1;683;683;1;57;57;2;0.1;0;1;1
29;2;685;815;131;58;68;11;2;0.1;0;1;1
29;3;817;839;23;69;70;2;2;0.1;0;1;1
29;4;841;935;95;71;78;8;2;0.1;0;1;1
29;5;937;978;42;79;82;4;2;0.1;0;1;1
30;1;1;356;356;1;30;30;2;0.1;0;1;1
30;2;358;359;2;30;30;1;2;0.1;0;1;1
30;3;361;544;184;31;46;16;2;0.1;0;1;1
30;4;546;744;199;46;62;17;2;0.1;0;1;1
30;5;746;756;11;63;63;1;2;0.1;0;1;1
30;6;758;761;4;64;64;1;2;0.1;0;1;1
31;1;1;131;131;1;11;11;2;0.1;0;1;1
31;2;133;382;250;12;32;21;2;0.1;0;1;1
32;1;1;455;455;1;38;38;2;0.1;0;1;1
32;2;457;871;415;39;73;35;2;0.1;0;1;1
33;1;1;155;155;1;13;13;2;0.1;0;1;1
33;2;157;517;361;14;44;31;2;0.1;0;1;1
33;3;519;592;74;44;50;7;2;0.1;0;1;1
33;4;594;961;368;50;81;32;2;0.1;0;1;1
34;1;1;88;88;1;8;8;2;0.1;0;1;1
34;2;90;343;254;8;29;22;2;0.1;0;1;1
34;3;345;515;171;29;43;15;2;0.1;0;1;1
34;4;517;642;126;44;54;11;2;0.1;0;1;1
35;1;1;133;133;1;12;12;2;0.1;0;1;1
35;2;135;480;346;12;40;29;2;0.1;0;1;1
35;3;482;617;136;41;52;12;2;0.1;0;1;1
35;4;619;627;9;52;53;2;2;0.1;0;1;1
35;5;629;739;111;53;62;10;2;0.1;0;1;1
35;6;741;890;150;62;75;14;2;0.1;0;1;1
35;7;892;901;10;75;76;2;2;0.1;0;1;1
35;8;903;914;12;76;77;2;2;0.1;0;1;1
36;1;1;681;681;1;57;57;2;0.1;0;1;1
37;1;1;479;479;1;40;40;2;0.1;0;1;1
37;2;481;566;86;41;48;8;2;0.1;0;1;1
38;1;1;426;426;1;36;36;2;0.1;0;1;1
38;2;428;804;377;36;67;32;2;0.1;0;1;1
39;1;1;94;94;1;8;8;2;0.1;0;1;1
39;2;96;363;268;8;31;24;2;0.1;0;1;1
39;3;365;559;195;31;47;17;2;0.1;0;1;1
39;4;561;732;172;47;61;15;2;0.1;0;1;1
39;5;734;876;143;62;73;12;2;0.1;0;1;1
40;1;1;249;249;1;21;21;2;0.1;0;1;1
40;2;251;788;538;21;66;46;2;0.1;0;1;1
40;3;790;957;168;66;80;15;2;0.1;0;1;1
41;1;1;892;892;1;75;75;2;0.1;0;1;1
42;1;1;377;377;1;32;32;2;0.1;0;1;1
42;2;379;903;525;32;76;45;2;0.1;0;1;1
43;1;1;179;179;1;15;15;2;0.1;0;1;1
43;2;181;765;585;16;64;49;2;0.1;0;1;1
43;3;767;819;53;64;69;6;2;0.1;0;1;1
44;1;1;1;1;1;1;1;2;0.1;0;1;1
45;1;1;289;289;1;25;25;2;0.1;0;1;1
45;2;291;532;242;25;45;21;2;0.1;0;1;1
45;3;534;555;22;45;47;3;2;0.1;0;1;1
46;1;1;373;373;1;32;32;2;0.1;0;1;1
47;1;1;48;48;1;4;4;2;0.1;0;1;1
47;2;50;266;217;5;23;19;2;0.1;0;1;1
47;3;268;378;111;23;32;10;2;0.1;0;1;1
47;4;380;460;81;32;39;8;2;0.1;0;1;1
47;5;462;662;201;39;56;18;2;0.1;0;1;1
47;6;664;755;92;56;63;8;2;0.1;0;1;1
49;1;1;34;34;1;3;3;2;0.1;0;1;1
49;2;36;228;193;3;19;17;2;0.1;0;1;1
49;3;230;649;420;20;55;36;2;0.1;0;1;1
49;4;651;899;249;55;75;21;2;0.1;0;1;1
49;5;901;952;52;76;80;5;2;0.1;0;1;1
51;1;1;29;29;1;3;3;2;0.1;0;1;1
51;2;31;623;593;3;52;50;2;0.1;0;1;1
51;3;625;961;337;53;81;29;2;0.1;0;1;1
51;4;963;984;22;81;82;2;2;0.1;0;1;1
52;1;1;148;148;1;13;13;2;0.1;0;1;1
52;2;150;261;112;13;22;10;2;0.1;0;1;1
52;3;263;770;508;22;65;44;2;0.1;0;1;1
53;1;1;280;280;1;24;24;2;0.1;0;1;1
53;2;282;905;624;24;76;53;2;0.1;0;1;1
54;1;1;23;23;1;2;2;2;0.1;0;1;1
54;2;25;105;81;3;9;7;2;0.1;0;1;1
54;3;107;513;407;9;43;35;2;0.1;0;1;1
54;4;515;548;34;43;46;4;2;0.1;0;1;1
54;5;550;556;7;46;47;2;2;0.1;0;1;1
54;6;558;624;67;47;52;6;2;0.1;0;1;1
54;7;626;670;45;53;56;4;2;0.1;0;1;1
55;1;1;108;108;1;9;9;2;0.1;0;1;1
55;2;110;222;113;10;19;10;2;0.1;0;1;1
55;3;224;363;140;19;31;13;2;0.1;0;1;1
55;4;365;540;176;31;45;15;2;0.1;0;1;1
55;5;542;806;265;46;68;23;2;0.1;0;1;1
56;1;1;484;484;1;41;41;2;0.1;0;1;1
57;1;1;55;55;1;5;5;2;0.1;0;1;1
57;2;57;346;290;5;29;25;2;0.1;0;1;1
57;3;348;348;1;29;29;1;2;0.1;0;1;1
57;4;350;573;224;30;48;19;2;0.1;0;1;1
58;1;1;776;776;1;65;65;2;0.1;0;1;1
59;1;1;319;319;1;27;27;2;0.1;0;1;1
59;2;321;528;208;27;44;18;2;0.1;0;1;1
60;1;1;796;796;1;67;67;2;0.1;0;1;1
60;2;798;829;32;67;70;4;2;0.1;0;1;1
61;1;1;695;695;1;58;58;2;0.1;0;1;1
61;2;697;906;210;59;76;18;2;0.1;0;1;1
61;3;908;928;21;76;78;3;2;0.1;0;1;1
62;1;1;971;971;1;81;81;2;0.1;0;1;1
63;1;1;874;874;1;73;73;2;0.1;0;1;1
63;2;876;925;50;73;78;6;2;0.1;0;1;1
64;1;1;928;928;1;78;78;2;0.1;0;1;1
65;1;1;387;387;1;33;33;2;0.1;0;1;1
65;2;389;523;135;33;44;12;2;0.1;0;1;1
65;3;525;873;349;44;73;30;2;0.1;0;1;1
68;1;1;173;173;1;15;15;2;0.1;0;1;1
68;2;175;186;12;15;16;2;2;0.1;0;1;1
68;3;188;369;182;16;31;16;2;0.1;0;1;1
68;4;371;401;31;31;34;4;2;0.1;0;1;1
68;5;403;467;65;34;39;6;2;0.1;0;1;1
68;6;469;562;94;40;47;8;2;0.1;0;1;1
68;7;564;711;148;47;60;14;2;0.1;0;1;1
69;1;1;56;56;1;5;5;2;0.1;0;1;1
69;2;58;334;277;5;28;24;2;0.1;0;1;1
69;3;336;432;97;28;36;9;2;0.1;0;1;1
69;4;434;472;39;37;40;4;2;0.1;0;1;1
69;5;474;704;231;40;59;20;2;0.1;0;1;1
70;1;1;207;207;1;18;18;2;0.1;0;1;1
70;2;209;388;180;18;33;16;2;0.1;0;1;1
70;3;390;638;249;33;54;22;2;0.1;0;1;1
71;1;1;325;325;1;28;28;2;0.1;0;1;1
71;2;327;800;474;28;67;40;2;0.1;0;1;1
72;1;1;426;426;1;36;36;2;0.1;0;1;1
74;1;1;256;256;1;22;22;2;0.1;0;1;1
74;2;258;658;401;22;55;34;2;0.1;0;1;1
74;3;660;699;40;55;59;5;2;0.1;0;1;1
74;4;701;794;94;59;67;9;2;0.1;0;1;1
75;1;1;841;841;1;71;71;2;0.1;0;1;1
76;1;1;3;3;1;1;1;2;0.1;0;1;1
76;2;5;373;369;1;32;32;2;0.1;0;1;1
76;3;375;658;284;32;55;24;2;0.1;0;1;1
77;1;1;47;47;1;4;4;2;0.1;0;1;1
77;2;49;196;148;5;17;13;2;0.1;0;1;1
77;3;198;591;394;17;50;34;2;0.1;0;1;1
78;1;1;256;256;1;22;22;2;0.1;0;1;1
78;2;258;773;516;22;65;44;2;0.1;0;1;1
78;3;775;999;225;65;84;20;2;0.1;0;1;1
79;1;1;64;64;1;6;6;2;0.1;0;1;1
79;2;66;440;375;6;37;32;2;0.1;0;1;1
79;3;442;603;162;37;51;15;2;0.1;0;1;1
79;4;605;915;311;51;77;27;2;0.1;0;1;1
80;1;1;697;697;1;59;59;2;0.1;0;1;1
81;1;1;34;34;1;3;3;2;0.1;0;1;1
81;2;36;48;13;3;4;2;2;0.1;0;1;1
81;3;50;348;299;5;29;25;2;0.1;0;1;1
81;4;350;355;6;30;30;1;2;0.1;0;1;1
81;5;357;706;350;30;59;30;2;0.1;0;1;1
81;6;708;736;29;59;62;4;2;0.1;0;1;1
81;7;738;909;172;62;76;15;2;0.1;0;1;1
81;8;911;986;76;76;83;8;2;0.1;0;1;1
82;1;1;183;183;1;16;16;2;0.1;0;1;1
82;2;185;328;144;16;28;13;2;0.1;0;1;1
82;3;330;463;134;28;39;12;2;0.1;0;1;1
82;4;465;814;350;39;68;30;2;0.1;0;1;1
82;5;816;974;159;68;82;15;2;0.1;0;1;1
83;1;1;389;389;1;33;33;2;0.1;0;1;1
83;2;391;492;102;33;41;9;2;0.1;0;1;1
83;3;494;718;225;42;60;19;2;0.1;0;1;1
83;4;720;865;146;60;73;14;2;0.1;0;1;1
83;5;867;897;31;73;75;3;2;0.1;0;1;1
84;1;1;48;48;1;4;4;2;0.1;0;1;1
84;2;50;965;916;5;81;77;2;0.1;0;1;1
84;3;967;989;23;81;83;3;2;0.1;0;1;1
85;1;1;489;489;1;41;41;2;0.1;0;1;1
85;2;491;495;5;41;42;2;2;0.1;0;1;1
85;3;497;597;101;42;50;9;2;0.1;0;1;1
85;4;599;658;60;50;55;6;2;0.1;0;1;1
85;5;660;949;290;55;80;26;2;0.1;0;1;1
86;1;1;983;983;1;82;82;2;0.1;0;1;1
87;1;1;110;110;1;10;10;2;0.1;0;1;1
87;2;112;379;268;10;32;23;2;0.1;0;1;1
88;1;1;389;389;1;33;33;2;0.1;0;1;1
88;2;391;731;341;33;61;29;2;0.1;0;1;1
89;1;1;852;852;1;71;71;2;0.1;0;1;1
90;1;1;318;318;1;27;27;2;0.1;0;1;1
90;2;320;346;27;27;29;3;2;0.1;0;1;1
90;3;348;588;241;29;49;21;2;0.1;0;1;1
90;4;590;639;50;50;54;5;2;0.1;0;1;1
90;5;641;661;21;54;56;3;2;0.1;0;1;1
