"industry";"cartel";"start";"end";"duration";"startyear";"endyear";"duration_year";"n_firms";"rho_start";"theta_len";"structured";"detected"
35;2;135;480;346;12;40;29;2;0.1;1;1;1
35;3;482;617;136;41;52;12;2;0.1;1;1;1
35;4;619;627;9;52;53;2;2;0.1;1;1;1
35;5;629;739;111;53;62;10;2;0.1;1;1;1
35;6;741;890;150;62;75;14;2;0.1;1;1;1
35;7;892;901;10;75;76;2;2;0.1;1;1;1
35;8;903;914;12;76;77;2;2;0.1;1;1;1
36;1;1;681;681;1;57;57;2;0.1;1;1;1
37;1;1;479;479;1;40;40;2;0.1;1;1;1
37;2;481;566;86;41;48;8;2;0.1;1;1;1
38;1;1;426;426;1;36;36;2;0.1;1;1;1
38;2;428;804;377;36;67;32;2;0.1;1;1;1
39;1;1;94;94;1;8;8;2;0.1;1;1;1
39;2;96;363;268;8;31;24;2;0.1;1;1;1
39;3;365;559;195;31;47;17;2;0.1;1;1;1
39;4;561;732;172;47;61;15;2;0.1;1;1;1
39;5;734;876;143;62;73;12;2;0.1;1;1;1
40;1;1;249;249;1;21;21;2;0.1;1;1;1
40;2;251;788;538;21;66;46;2;0.1;1;1;1
40;3;790;957;168;66;80;15;2;0.1;1;1;1
41;1;1;892;892;1;75;75;2;0.1;1;1;1
42;1;1;377;377;1;32;32;2;0.1;1;1;1
42;2;379;903;525;32;76;45;2;0.1;1;1;1
43;1;1;179;179;1;15;15;2;0.1;1;1;1
43;2;181;765;585;16;64;49;2;0.1;1;1;1
43;3;767;819;53;64;69;6;2;0.1;1;1;1
44;1;1;1;1;1;1;1;2;0.1;1;1;1
45;1;1;289;289;1;25;25;2;0.1;1;1;1
45;2;291;532;242;25;45;21;2;0.1;1;1;1
45;3;534;555;22;45;47;3;2;0.1;1;1;1
46;1;1;373;373;1;32;32;2;0.1;1;1;1
47;1;1;48;48;1;4;4;2;0.1;1;1;1
47;2;50;266;217;5;23;19;2;0.1;1;1;1
47;3;268;378;111;23;32;10;2;0.1;1;1;1
47;4;380;460;81;32;39;8;2;0.1;1;1;1
47;5;462;662;201;39;56;18;2;0.1;1;1;1
47;6;664;755;92;56;63;8;2;0.1;1;1;1
49;1;1;34;34;1;3;3;2;0.1;1;1;1
49;2;36;228;193;3;19;17;2;0.1;1;1;1
49;3;230;649;420;20;55;36;2;0.1;1;1;1
49;4;651;899;249;55;75;21;2;0.1;1;1;1
49;5;901;952;52;76;80;5;2;0.1;1;1;1
51;1;1;29;29;1;3;3;2;0.1;1;1;1
51;2;31;623;593;3;52;50;2;0.1;1;1;1
51;3;625;961;337;53;81;29;2;0.1;1;1;1
51;4;963;984;22;81;82;2;2;0.1;1;1;1
52;1;1;148;148;1;13;13;2;0.1;1;1;1
52;2;150;261;112;13;22;10;2;0.1;1;1;1
52;3;263;770;508;22;65;44;2;0.1;1;1;1
