"model";"space";"theta_min_1";"theta";"lambda_min_1";"lambda";"number_alive";"size"
1;"population";0.42;2.37;190.75;0.005;452;2370
2;"population";0.02;40.96;141.42;0.007;5793;40964
2;"sample";0.04;24.13;163.34;0.006;3942;24133
2;"undetected";0.06;16.83;109.98;0.009;1851;16831
3;"population";0.03;35.8;111.55;0.009;3994;35801
3;"sample";0.04;23.07;132.56;0.008;3058;23066
3;"undetected";0.08;12.74;73.51;0.014;936;12735
